season,playerId,player,team,conference,category,statType,stat
2024,-112358, Team,Long Island University,NEC,passing,ATT,1
2024,-112358, Team,Long Island University,NEC,passing,COMPLETIONS,0
2024,-112358, Team,Long Island University,NEC,passing,INT,0
2024,-112358, Team,Long Island University,NEC,passing,PCT,0.000
2024,-112358, Team,Long Island University,NEC,passing,TD,0
2024,-112358, Team,Long Island University,NEC,passing,YDS,0
2024,-112358, Team,Long Island University,NEC,passing,YPA,0.0
2024,-107006, Team,Charlotte,American Athletic,passing,ATT,1
2024,-107006, Team,Charlotte,American Athletic,passing,COMPLETIONS,0
2024,-107006, Team,Charlotte,American Athletic,passing,INT,0
2024,-107006, Team,Charlotte,American Athletic,passing,PCT,0.000
2024,-107006, Team,Charlotte,American Athletic,passing,TD,0
2024,-107006, Team,Charlotte,American Athletic,passing,YDS,0
2024,-107006, Team,Charlotte,American Athletic,passing,YPA,0.0
2024,-106999, Team,Stetson,Pioneer,passing,ATT,2
2024,-106999, Team,Stetson,Pioneer,passing,COMPLETIONS,0
2024,-106999, Team,Stetson,Pioneer,passing,INT,0
2024,-106999, Team,Stetson,Pioneer,passing,PCT,0.000
2024,-106999, Team,Stetson,Pioneer,passing,TD,0
2024,-106999, Team,Stetson,Pioneer,passing,YDS,0
2024,-106999, Team,Stetson,Pioneer,passing,YPA,0.0
2024,-103071, Team,UTSA,American Athletic,passing,ATT,1
2024,-103071, Team,UTSA,American Athletic,passing,COMPLETIONS,0
2024,-103071, Team,UTSA,American Athletic,passing,INT,0
2024,-103071, Team,UTSA,American Athletic,passing,PCT,0.000
2024,-103071, Team,UTSA,American Athletic,passing,TD,0
2024,-103071, Team,UTSA,American Athletic,passing,YDS,0
2024,-103071, Team,UTSA,American Athletic,passing,YPA,0.0
2024,-96544, Team,Lamar,Southland,passing,ATT,1
2024,-96544, Team,Lamar,Southland,passing,COMPLETIONS,0
2024,-96544, Team,Lamar,Southland,passing,INT,0
2024,-96544, Team,Lamar,Southland,passing,PCT,0.000
2024,-96544, Team,Lamar,Southland,passing,TD,0
2024,-96544, Team,Lamar,Southland,passing,YDS,0
2024,-96544, Team,Lamar,Southland,passing,YPA,0.0
2024,-88716, Team,Incarnate Word,Southland,passing,ATT,1
2024,-88716, Team,Incarnate Word,Southland,passing,COMPLETIONS,0
2024,-88716, Team,Incarnate Word,Southland,passing,INT,0
2024,-88716, Team,Incarnate Word,Southland,passing,PCT,0.000
2024,-88716, Team,Incarnate Word,Southland,passing,TD,0
2024,-88716, Team,Incarnate Word,Southland,passing,YDS,0
2024,-88716, Team,Incarnate Word,Southland,passing,YPA,0.0
2024,-81909, Team,Campbell,CAA,passing,ATT,1
2024,-81909, Team,Campbell,CAA,passing,COMPLETIONS,0
2024,-81909, Team,Campbell,CAA,passing,INT,0
2024,-81909, Team,Campbell,CAA,passing,PCT,0.000
2024,-81909, Team,Campbell,CAA,passing,TD,0
2024,-81909, Team,Campbell,CAA,passing,YDS,0
2024,-81909, Team,Campbell,CAA,passing,YPA,0.0
2024,-66489, Team,Presbyterian,Pioneer,passing,ATT,2
2024,-66489, Team,Presbyterian,Pioneer,passing,COMPLETIONS,0
2024,-66489, Team,Presbyterian,Pioneer,passing,INT,0
2024,-66489, Team,Presbyterian,Pioneer,passing,PCT,0.000
2024,-66489, Team,Presbyterian,Pioneer,passing,TD,0
2024,-66489, Team,Presbyterian,Pioneer,passing,YDS,0
2024,-66489, Team,Presbyterian,Pioneer,passing,YPA,0.0
2024,-15611, Team,SE Louisiana,Southland,passing,ATT,2
2024,-15611, Team,SE Louisiana,Southland,passing,COMPLETIONS,0
2024,-15611, Team,SE Louisiana,Southland,passing,INT,0
2024,-15611, Team,SE Louisiana,Southland,passing,PCT,0.000
2024,-15611, Team,SE Louisiana,Southland,passing,TD,0
2024,-15611, Team,SE Louisiana,Southland,passing,YDS,0
2024,-15611, Team,SE Louisiana,Southland,passing,YPA,0.0
2024,-12288, Team,Dartmouth,Ivy,passing,ATT,2
2024,-12288, Team,Dartmouth,Ivy,passing,COMPLETIONS,0
2024,-12288, Team,Dartmouth,Ivy,passing,INT,0
2024,-12288, Team,Dartmouth,Ivy,passing,PCT,0.000
